"('January 2024', 'Unnamed: 0_level_1')","('January 2024', 'Gold Price (24 Karat)')","('January 2024', 'Gold Price (22 Karat)')","('January 2024', 'Gold Price (18 Karat)')","('January 2024', 'Gold Price (14 Karat)')","('January 2024', 'Gold Price (10 Karat)')","('Month', '')",January 2024 Unnamed: 0_level_1,January 2024 Gold Price (24 Karat),January 2024 Gold Price (22 Karat),January 2024 Gold Price (18 Karat),January 2024 Gold Price (14 Karat),January 2024 Gold Price (10 Karat),Month
"Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.",Unknown,,,,,,,
,,,,,,Unknown,,,,,,,
,,,,,,,1 Jan,"₹171,905","₹157,580","₹128,929","₹100,278","₹71,627",Unknown
,,,,,,,2 Jan,"₹171,465","₹157,176","₹128,599","₹100,021","₹71,444",Unknown
,,,,,,,3 Jan,"₹170,149","₹155,970","₹127,612","₹99,254","₹70,895",Unknown
,,,,,,,4 Jan,"₹170,079","₹155,906","₹127,559","₹99,213","₹70,866",Unknown
,,,,,,,5 Jan,"₹170,171","₹155,990","₹127,628","₹99,266","₹70,905",Unknown
,,,,,,,8 Jan,"₹168,512","₹154,470","₹126,384","₹98,299","₹70,213",Unknown
,,,,,,,9 Jan,"₹168,716","₹154,656","₹126,537","₹98,417","₹70,298",Unknown
,,,,,,,10 Jan,"₹168,148","₹154,136","₹126,111","₹98,086","₹70,062",Unknown
,,,,,,,11 Jan,"₹168,918","₹154,842","₹126,689","₹98,536","₹70,383",Unknown
,,,,,,,12 Jan,"₹169,835","₹155,682","₹127,376","₹99,070","₹70,765",Unknown
,,,,,,,15 Jan,"₹170,175","₹155,994","₹127,632","₹99,269","₹70,906",Unknown
,,,,,,,16 Jan,"₹168,385","₹154,353","₹126,289","₹98,224","₹70,160",Unknown
,,,,,,,17 Jan,"₹167,144","₹153,215","₹125,358","₹97,501","₹69,643",Unknown
,,,,,,,18 Jan,"₹168,180","₹154,165","₹126,135","₹98,105","₹70,075",Unknown
,,,,,,,19 Jan,"₹168,708","₹154,649","₹126,531","₹98,413","₹70,295",Unknown
,,,,,,,22 Jan,"₹167,987","₹153,988","₹125,990","₹97,993","₹69,995",Unknown
,,,,,,,23 Jan,"₹168,805","₹154,738","₹126,604","₹98,470","₹70,335",Unknown
,,,,,,,24 Jan,"₹167,596","₹153,630","₹125,697","₹97,764","₹69,832",Unknown
,,,,,,,25 Jan,"₹168,052","₹154,047","₹126,039","₹98,030","₹70,021",Unknown
,,,,,,,26 Jan,"₹167,779","₹153,797","₹125,834","₹97,871","₹69,908",Unknown
,,,,,,,29 Jan,"₹168,867","₹154,795","₹126,650","₹98,506","₹70,361",Unknown
,,,,,,,30 Jan,"₹169,226","₹155,124","₹126,920","₹98,715","₹70,511",Unknown
,,,,,,,31 Jan,"₹169,602","₹155,469","₹127,202","₹98,935","₹70,668",Unknown
,,,,,,,"Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.","Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.","Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.","Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.","Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.","Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,February 2024,February 2024,February 2024,February 2024,February 2024,February 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 Feb,"₹170,548","₹156,336","₹127,911","₹99,486","₹71,062",Unknown
,,,,,,,2 Feb,"₹169,272","₹155,166","₹126,954","₹98,742","₹70,530",Unknown
,,,,,,,5 Feb,"₹168,091","₹154,084","₹126,068","₹98,053","₹70,038",Unknown
,,,,,,,6 Feb,"₹169,086","₹154,995","₹126,814","₹98,633","₹70,452",Unknown
,,,,,,,7 Feb,"₹168,983","₹154,901","₹126,737","₹98,573","₹70,410",Unknown
,,,,,,,8 Feb,"₹168,803","₹154,736","₹126,602","₹98,468","₹70,334",Unknown
,,,,,,,9 Feb,"₹168,063","₹154,058","₹126,047","₹98,037","₹70,026",Unknown
,,,,,,,12 Feb,"₹167,576","₹153,612","₹125,682","₹97,753","₹69,823",Unknown
,,,,,,,13 Feb,"₹165,482","₹151,692","₹124,112","₹96,531","₹68,951",Unknown
,,,,,,,14 Feb,"₹165,514","₹151,721","₹124,135","₹96,550","₹68,964",Unknown
,,,,,,,15 Feb,"₹166,362","₹152,498","₹124,771","₹97,044","₹69,317",Unknown
,,,,,,,16 Feb,"₹167,108","₹153,182","₹125,331","₹97,480","₹69,628",Unknown
,,,,,,,19 Feb,"₹167,449","₹153,495","₹125,587","₹97,679","₹69,771",Unknown
,,,,,,,20 Feb,"₹167,774","₹153,793","₹125,830","₹97,868","₹69,906",Unknown
,,,,,,,21 Feb,"₹168,045","₹154,041","₹126,034","₹98,026","₹70,019",Unknown
,,,,,,,22 Feb,"₹167,874","₹153,885","₹125,906","₹97,927","₹69,948",Unknown
,,,,,,,23 Feb,"₹168,713","₹154,654","₹126,535","₹98,416","₹70,297",Unknown
,,,,,,,26 Feb,"₹168,317","₹154,290","₹126,237","₹98,185","₹70,132",Unknown
,,,,,,,27 Feb,"₹168,355","₹154,325","₹126,266","₹98,207","₹70,148",Unknown
,,,,,,,28 Feb,"₹168,743","₹154,681","₹126,557","₹98,433","₹70,309",Unknown
,,,,,,,29 Feb,"₹169,457","₹155,336","₹127,093","₹98,850","₹70,607",Unknown
,,,,,,,"Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.","Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.","Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.","Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.","Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.","Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,March 2024,March 2024,March 2024,March 2024,March 2024,March 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 Mar,"₹172,532","₹158,154","₹129,399","₹100,644","₹71,888",Unknown
,,,,,,,4 Mar,"₹175,344","₹160,732","₹131,508","₹102,284","₹73,060",Unknown
,,,,,,,5 Mar,"₹176,408","₹161,708","₹132,306","₹102,905","₹73,503",Unknown
,,,,,,,6 Mar,"₹178,013","₹163,178","₹133,509","₹103,841","₹74,172",Unknown
,,,,,,,7 Mar,"₹178,661","₹163,773","₹133,996","₹104,219","₹74,442",Unknown
,,,,,,,8 Mar,"₹180,328","₹165,300","₹135,246","₹105,191","₹75,136",Unknown
,,,,,,,11 Mar,"₹180,733","₹165,671","₹135,549","₹105,427","₹75,305",Unknown
,,,,,,,12 Mar,"₹178,848","₹163,944","₹134,136","₹104,328","₹74,520",Unknown
,,,,,,,13 Mar,"₹180,121","₹165,111","₹135,091","₹105,071","₹75,050",Unknown
,,,,,,,14 Mar,"₹179,379","₹164,431","₹134,534","₹104,638","₹74,741",Unknown
,,,,,,,15 Mar,"₹178,720","₹163,826","₹134,040","₹104,253","₹74,466",Unknown
,,,,,,,18 Mar,"₹179,273","₹164,333","₹134,455","₹104,576","₹74,697",Unknown
,,,,,,,19 Mar,"₹179,238","₹164,302","₹134,429","₹104,556","₹74,683",Unknown
,,,,,,,20 Mar,"₹183,552","₹168,256","₹137,664","₹107,072","₹76,480",Unknown
,,,,,,,21 Mar,"₹181,575","₹166,443","₹136,181","₹105,918","₹75,656",Unknown
,,,,,,,22 Mar,"₹181,033","₹165,947","₹135,775","₹105,603","₹75,430",Unknown
,,,,,,,25 Mar,"₹181,233","₹166,130","₹135,925","₹105,719","₹75,514",Unknown
,,,,,,,26 Mar,"₹181,624","₹166,489","₹136,218","₹105,948","₹75,677",Unknown
,,,,,,,27 Mar,"₹182,850","₹167,612","₹137,137","₹106,662","₹76,187",Unknown
,,,,,,,28 Mar,"₹186,011","₹170,510","₹139,508","₹108,506","₹77,505",Unknown
,,,,,,,29 Mar,"₹185,945","₹170,450","₹139,459","₹108,468","₹77,477",Unknown
,,,,,,,"Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.","Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.","Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.","Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.","Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.","Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,April 2024,April 2024,April 2024,April 2024,April 2024,April 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 Apr,"₹188,109","₹172,433","₹141,081","₹109,730","₹78,379",Unknown
,,,,,,,2 Apr,"₹190,759","₹174,863","₹143,069","₹111,276","₹79,483",Unknown
,,,,,,,3 Apr,"₹192,213","₹176,195","₹144,159","₹112,124","₹80,089",Unknown
,,,,,,,4 Apr,"₹191,321","₹175,377","₹143,491","₹111,604","₹79,717",Unknown
,,,,,,,5 Apr,"₹194,075","₹177,902","₹145,556","₹113,211","₹80,865",Unknown
,,,,,,,8 Apr,"₹194,670","₹178,447","₹146,002","₹113,557","₹81,112",Unknown
,,,,,,,9 Apr,"₹195,811","₹179,494","₹146,858","₹114,223","₹81,588",Unknown
,,,,,,,10 Apr,"₹194,744","₹178,515","₹146,058","₹113,600","₹81,143",Unknown
,,,,,,,11 Apr,"₹197,998","₹181,499","₹148,499","₹115,499","₹82,499",Unknown
,,,,,,,12 Apr,"₹196,032","₹179,696","₹147,024","₹114,352","₹81,680",Unknown
,,,,,,,15 Apr,"₹199,340","₹182,729","₹149,505","₹116,282","₹83,059",Unknown
,,,,,,,16 Apr,"₹199,622","₹182,987","₹149,716","₹116,446","₹83,176",Unknown
,,,,,,,17 Apr,"₹197,689","₹181,215","₹148,267","₹115,319","₹82,371",Unknown
,,,,,,,18 Apr,"₹198,887","₹182,313","₹149,165","₹116,018","₹82,870",Unknown
,,,,,,,19 Apr,"₹199,327","₹182,716","₹149,495","₹116,274","₹83,053",Unknown
,,,,,,,22 Apr,"₹194,089","₹177,915","₹145,567","₹113,219","₹80,870",Unknown
,,,,,,,23 Apr,"₹193,431","₹177,312","₹145,073","₹112,835","₹80,596",Unknown
,,,,,,,24 Apr,"₹193,190","₹177,091","₹144,893","₹112,694","₹80,496",Unknown
,,,,,,,25 Apr,"₹194,381","₹178,182","₹145,786","₹113,389","₹80,992",Unknown
,,,,,,,26 Apr,"₹194,989","₹178,739","₹146,241","₹113,743","₹81,245",Unknown
,,,,,,,29 Apr,"₹194,911","₹178,669","₹146,184","₹113,698","₹81,213",Unknown
,,,,,,,30 Apr,"₹191,256","₹175,318","₹143,442","₹111,566","₹79,690",Unknown
,,,,,,,"Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.","Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.","Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.","Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.","Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.","Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,May 2024,May 2024,May 2024,May 2024,May 2024,May 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 May,"₹193,559","₹177,429","₹145,169","₹112,910","₹80,650",Unknown
,,,,,,,2 May,"₹192,307","₹176,282","₹144,231","₹112,179","₹80,128",Unknown
,,,,,,,3 May,"₹191,988","₹175,989","₹143,991","₹111,993","₹79,995",Unknown
,,,,,,,6 May,"₹194,247","₹178,060","₹145,686","₹113,311","₹80,936",Unknown
,,,,,,,7 May,"₹193,338","₹177,227","₹145,004","₹112,781","₹80,558",Unknown
,,,,,,,8 May,"₹192,847","₹176,776","₹144,635","₹112,494","₹80,353",Unknown
,,,,,,,9 May,"₹195,745","₹179,433","₹146,809","₹114,185","₹81,561",Unknown
,,,,,,,10 May,"₹197,211","₹180,777","₹147,909","₹115,040","₹82,171",Unknown
,,,,,,,13 May,"₹195,253","₹178,982","₹146,439","₹113,897","₹81,355",Unknown
,,,,,,,14 May,"₹196,783","₹180,385","₹147,587","₹114,790","₹81,993",Unknown
,,,,,,,15 May,"₹199,310","₹182,700","₹149,482","₹116,264","₹83,046",Unknown
,,,,,,,16 May,"₹198,561","₹182,015","₹148,921","₹115,828","₹82,734",Unknown
,,,,,,,17 May,"₹201,083","₹184,326","₹150,812","₹117,298","₹83,784",Unknown
,,,,,,,20 May,"₹202,444","₹185,574","₹151,833","₹118,093","₹84,352",Unknown
,,,,,,,21 May,"₹201,762","₹184,949","₹151,322","₹117,695","₹84,068",Unknown
,,,,,,,22 May,"₹198,246","₹181,726","₹148,685","₹115,644","₹82,603",Unknown
,,,,,,,23 May,"₹194,228","₹178,043","₹145,671","₹113,300","₹80,929",Unknown
,,,,,,,24 May,"₹193,877","₹177,720","₹145,408","₹113,095","₹80,782",Unknown
,,,,,,,27 May,"₹195,614","₹179,313","₹146,710","₹114,108","₹81,506",Unknown
,,,,,,,28 May,"₹196,359","₹179,996","₹147,269","₹114,543","₹81,816",Unknown
,,,,,,,29 May,"₹194,981","₹178,732","₹146,236","₹113,739","₹81,242",Unknown
,,,,,,,30 May,"₹195,319","₹179,043","₹146,489","₹113,936","₹81,383",Unknown
,,,,,,,31 May,"₹194,244","₹178,057","₹145,683","₹113,309","₹80,935",Unknown
,,,,,,,"Lowest gold price in India in May 2024: ₹191,988 per ounce. Highest gold price in India in May 2024: ₹202,444 per ounce. Average gold price in India in May 2024: ₹196,057 per ounce.","Lowest gold price in India in May 2024: ₹191,988 per ounce. Highest gold price in India in May 2024: ₹202,444 per ounce. Average gold price in India in May 2024: ₹196,057 per ounce.","Lowest gold price in India in May 2024: ₹191,988 per ounce. Highest gold price in India in May 2024: ₹202,444 per ounce. Average gold price in India in May 2024: ₹196,057 per ounce.","Lowest gold price in India in May 2024: ₹191,988 per ounce. Highest gold price in India in May 2024: ₹202,444 per ounce. Average gold price in India in May 2024: ₹196,057 per ounce.","Lowest gold price in India in May 2024: ₹191,988 per ounce. Highest gold price in India in May 2024: ₹202,444 per ounce. Average gold price in India in May 2024: ₹196,057 per ounce.","Lowest gold price in India in May 2024: ₹191,988 per ounce. Highest gold price in India in May 2024: ₹202,444 per ounce. Average gold price in India in May 2024: ₹196,057 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,June 2024,June 2024,June 2024,June 2024,June 2024,June 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,3 Jun,"₹195,347","₹179,068","₹146,510","₹113,952","₹81,394",Unknown
,,,,,,,4 Jun,"₹194,770","₹178,539","₹146,078","₹113,616","₹81,154",Unknown
,,,,,,,5 Jun,"₹196,465","₹180,093","₹147,349","₹114,604","₹81,860",Unknown
,,,,,,,6 Jun,"₹198,342","₹181,814","₹148,757","₹115,700","₹82,643",Unknown
,,,,,,,7 Jun,"₹191,606","₹175,639","₹143,705","₹111,770","₹79,836",Unknown
,,,,,,,10 Jun,"₹193,125","₹177,032","₹144,844","₹112,657","₹80,469",Unknown
,,,,,,,11 Jun,"₹193,567","₹177,437","₹145,175","₹112,914","₹80,653",Unknown
,,,,,,,12 Jun,"₹193,891","₹177,733","₹145,418","₹113,103","₹80,788",Unknown
,,,,,,,13 Jun,"₹192,452","₹176,415","₹144,339","₹112,264","₹80,189",Unknown
,,,,,,,14 Jun,"₹194,927","₹178,683","₹146,195","₹113,707","₹81,220",Unknown
,,,,,,,17 Jun,"₹193,776","₹177,628","₹145,332","₹113,036","₹80,740",Unknown
,,,,,,,18 Jun,"₹194,170","₹177,989","₹145,628","₹113,266","₹80,904",Unknown
,,,,,,,19 Jun,"₹194,394","₹178,194","₹145,795","₹113,396","₹80,997",Unknown
,,,,,,,20 Jun,"₹197,351","₹180,905","₹148,013","₹115,121","₹82,229",Unknown
,,,,,,,21 Jun,"₹193,950","₹177,788","₹145,463","₹113,138","₹80,813",Unknown
,,,,,,,24 Jun,"₹194,730","₹178,502","₹146,047","₹113,592","₹81,137",Unknown
,,,,,,,25 Jun,"₹193,673","₹177,534","₹145,255","₹112,976","₹80,697",Unknown
,,,,,,,26 Jun,"₹192,151","₹176,138","₹144,113","₹112,088","₹80,063",Unknown
,,,,,,,27 Jun,"₹194,171","₹177,990","₹145,628","₹113,266","₹80,904",Unknown
,,,,,,,28 Jun,"₹193,973","₹177,809","₹145,480","₹113,151","₹80,822",Unknown
