"('January 2024', 'Unnamed: 0_level_1')","('January 2024', 'Gold Price (24 Karat)')","('January 2024', 'Gold Price (22 Karat)')","('January 2024', 'Gold Price (18 Karat)')","('January 2024', 'Gold Price (14 Karat)')","('January 2024', 'Gold Price (10 Karat)')","('Month', '')",January 2024 Unnamed: 0_level_1,January 2024 Gold Price (24 Karat),January 2024 Gold Price (22 Karat),January 2024 Gold Price (18 Karat),January 2024 Gold Price (14 Karat),January 2024 Gold Price (10 Karat),Month
,,,,,,,"Lowest gold price in India in June 2024: ₹191,606 per ounce. Highest gold price in India in June 2024: ₹198,342 per ounce. Average gold price in India in June 2024: ₹194,342 per ounce.","Lowest gold price in India in June 2024: ₹191,606 per ounce. Highest gold price in India in June 2024: ₹198,342 per ounce. Average gold price in India in June 2024: ₹194,342 per ounce.","Lowest gold price in India in June 2024: ₹191,606 per ounce. Highest gold price in India in June 2024: ₹198,342 per ounce. Average gold price in India in June 2024: ₹194,342 per ounce.","Lowest gold price in India in June 2024: ₹191,606 per ounce. Highest gold price in India in June 2024: ₹198,342 per ounce. Average gold price in India in June 2024: ₹194,342 per ounce.","Lowest gold price in India in June 2024: ₹191,606 per ounce. Highest gold price in India in June 2024: ₹198,342 per ounce. Average gold price in India in June 2024: ₹194,342 per ounce.","Lowest gold price in India in June 2024: ₹191,606 per ounce. Highest gold price in India in June 2024: ₹198,342 per ounce. Average gold price in India in June 2024: ₹194,342 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,July 2024,July 2024,July 2024,July 2024,July 2024,July 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 Jul,"₹194,571","₹178,356","₹145,928","₹113,500","₹81,071",Unknown
,,,,,,,2 Jul,"₹194,593","₹178,377","₹145,944","₹113,512","₹81,080",Unknown
,,,,,,,3 Jul,"₹196,772","₹180,374","₹147,579","₹114,784","₹81,988",Unknown
,,,,,,,4 Jul,"₹196,700","₹180,308","₹147,525","₹114,742","₹81,958",Unknown
,,,,,,,5 Jul,"₹199,685","₹183,044","₹149,764","₹116,483","₹83,202",Unknown
,,,,,,,8 Jul,"₹196,904","₹180,496","₹147,678","₹114,861","₹82,043",Unknown
,,,,,,,9 Jul,"₹197,350","₹180,904","₹148,012","₹115,121","₹82,229",Unknown
,,,,,,,10 Jul,"₹198,093","₹181,585","₹148,570","₹115,554","₹82,539",Unknown
,,,,,,,11 Jul,"₹201,481","₹184,691","₹151,111","₹117,531","₹83,951",Unknown
,,,,,,,12 Jul,"₹201,399","₹184,616","₹151,049","₹117,483","₹83,916",Unknown
,,,,,,,15 Jul,"₹202,397","₹185,531","₹151,798","₹118,065","₹84,332",Unknown
,,,,,,,16 Jul,"₹206,128","₹188,951","₹154,596","₹120,241","₹85,887",Unknown
,,,,,,,17 Jul,"₹205,488","₹188,364","₹154,116","₹119,868","₹85,620",Unknown
,,,,,,,18 Jul,"₹204,639","₹187,586","₹153,479","₹119,373","₹85,266",Unknown
,,,,,,,19 Jul,"₹201,005","₹184,254","₹150,753","₹117,253","₹83,752",Unknown
,,,,,,,22 Jul,"₹200,512","₹183,802","₹150,384","₹116,965","₹83,547",Unknown
,,,,,,,23 Jul,"₹201,611","₹184,810","₹151,208","₹117,606","₹84,005",Unknown
,,,,,,,24 Jul,"₹200,764","₹184,033","₹150,573","₹117,112","₹83,652",Unknown
,,,,,,,25 Jul,"₹197,953","₹181,457","₹148,465","₹115,472","₹82,480",Unknown
,,,,,,,26 Jul,"₹199,889","₹183,232","₹149,917","₹116,602","₹83,287",Unknown
,,,,,,,29 Jul,"₹199,628","₹182,992","₹149,721","₹116,450","₹83,178",Unknown
,,,,,,,30 Jul,"₹201,753","₹184,940","₹151,315","₹117,689","₹84,064",Unknown
,,,,,,,31 Jul,"₹204,905","₹187,829","₹153,679","₹119,528","₹85,377",Unknown
,,,,,,,"Lowest gold price in India in July 2024: ₹194,571 per ounce. Highest gold price in India in July 2024: ₹206,128 per ounce. Average gold price in India in July 2024: ₹200,183 per ounce.","Lowest gold price in India in July 2024: ₹194,571 per ounce. Highest gold price in India in July 2024: ₹206,128 per ounce. Average gold price in India in July 2024: ₹200,183 per ounce.","Lowest gold price in India in July 2024: ₹194,571 per ounce. Highest gold price in India in July 2024: ₹206,128 per ounce. Average gold price in India in July 2024: ₹200,183 per ounce.","Lowest gold price in India in July 2024: ₹194,571 per ounce. Highest gold price in India in July 2024: ₹206,128 per ounce. Average gold price in India in July 2024: ₹200,183 per ounce.","Lowest gold price in India in July 2024: ₹194,571 per ounce. Highest gold price in India in July 2024: ₹206,128 per ounce. Average gold price in India in July 2024: ₹200,183 per ounce.","Lowest gold price in India in July 2024: ₹194,571 per ounce. Highest gold price in India in July 2024: ₹206,128 per ounce. Average gold price in India in July 2024: ₹200,183 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,August 2024,August 2024,August 2024,August 2024,August 2024,August 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 Aug,"₹204,859","₹187,787","₹153,644","₹119,501","₹85,358",Unknown
,,,,,,,2 Aug,"₹204,555","₹187,509","₹153,416","₹119,324","₹85,231",Unknown
,,,,,,,5 Aug,"₹202,489","₹185,615","₹151,867","₹118,119","₹84,370",Unknown
,,,,,,,6 Aug,"₹200,540","₹183,829","₹150,405","₹116,982","₹83,558",Unknown
,,,,,,,7 Aug,"₹200,050","₹183,379","₹150,037","₹116,696","₹83,354",Unknown
,,,,,,,8 Aug,"₹203,828","₹186,843","₹152,871","₹118,900","₹84,928",Unknown
,,,,,,,9 Aug,"₹204,098","₹187,090","₹153,074","₹119,057","₹85,041",Unknown
,,,,,,,12 Aug,"₹207,468","₹190,179","₹155,601","₹121,023","₹86,445",Unknown
,,,,,,,13 Aug,"₹206,783","₹189,551","₹155,087","₹120,623","₹86,159",Unknown
,,,,,,,14 Aug,"₹205,503","₹188,378","₹154,127","₹119,877","₹85,626",Unknown
,,,,,,,15 Aug,"₹206,086","₹188,912","₹154,565","₹120,217","₹85,869",Unknown
,,,,,,,16 Aug,"₹210,345","₹192,816","₹157,759","₹122,701","₹87,644",Unknown
,,,,,,,19 Aug,"₹209,766","₹192,286","₹157,325","₹122,364","₹87,403",Unknown
,,,,,,,20 Aug,"₹210,735","₹193,174","₹158,051","₹122,929","₹87,806",Unknown
,,,,,,,21 Aug,"₹210,856","₹193,285","₹158,142","₹122,999","₹87,857",Unknown
,,,,,,,22 Aug,"₹208,578","₹191,196","₹156,433","₹121,670","₹86,907",Unknown
,,,,,,,23 Aug,"₹210,556","₹193,009","₹157,917","₹122,824","₹87,732",Unknown
,,,,,,,26 Aug,"₹211,139","₹193,544","₹158,354","₹123,164","₹87,974",Unknown
,,,,,,,27 Aug,"₹211,936","₹194,275","₹158,952","₹123,629","₹88,307",Unknown
,,,,,,,28 Aug,"₹210,507","₹192,965","₹157,881","₹122,796","₹87,711",Unknown
,,,,,,,29 Aug,"₹211,570","₹193,940","₹158,678","₹123,416","₹88,154",Unknown
,,,,,,,30 Aug,"₹209,992","₹192,493","₹157,494","₹122,496","₹87,497",Unknown
,,,,,,,"Lowest gold price in India in August 2024: ₹200,050 per ounce. Highest gold price in India in August 2024: ₹211,936 per ounce. Average gold price in India in August 2024: ₹207,375 per ounce.","Lowest gold price in India in August 2024: ₹200,050 per ounce. Highest gold price in India in August 2024: ₹211,936 per ounce. Average gold price in India in August 2024: ₹207,375 per ounce.","Lowest gold price in India in August 2024: ₹200,050 per ounce. Highest gold price in India in August 2024: ₹211,936 per ounce. Average gold price in India in August 2024: ₹207,375 per ounce.","Lowest gold price in India in August 2024: ₹200,050 per ounce. Highest gold price in India in August 2024: ₹211,936 per ounce. Average gold price in India in August 2024: ₹207,375 per ounce.","Lowest gold price in India in August 2024: ₹200,050 per ounce. Highest gold price in India in August 2024: ₹211,936 per ounce. Average gold price in India in August 2024: ₹207,375 per ounce.","Lowest gold price in India in August 2024: ₹200,050 per ounce. Highest gold price in India in August 2024: ₹211,936 per ounce. Average gold price in India in August 2024: ₹207,375 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,September 2024,September 2024,September 2024,September 2024,September 2024,September 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,2 Sep,"₹209,681","₹192,207","₹157,261","₹122,314","₹87,367",Unknown
,,,,,,,3 Sep,"₹209,297","₹191,856","₹156,973","₹122,090","₹87,207",Unknown
,,,,,,,4 Sep,"₹209,440","₹191,986","₹157,080","₹122,173","₹87,267",Unknown
,,,,,,,5 Sep,"₹211,320","₹193,710","₹158,490","₹123,270","₹88,050",Unknown
,,,,,,,6 Sep,"₹209,744","₹192,265","₹157,308","₹122,351","₹87,393",Unknown
,,,,,,,9 Sep,"₹210,435","₹192,899","₹157,826","₹122,754","₹87,681",Unknown
,,,,,,,10 Sep,"₹211,375","₹193,760","₹158,531","₹123,302","₹88,073",Unknown
,,,,,,,11 Sep,"₹211,135","₹193,540","₹158,351","₹123,162","₹87,973",Unknown
,,,,,,,12 Sep,"₹214,765","₹196,868","₹161,074","₹125,280","₹89,485",Unknown
,,,,,,,13 Sep,"₹216,345","₹198,317","₹162,259","₹126,201","₹90,144",Unknown
,,,,,,,16 Sep,"₹216,635","₹198,582","₹162,476","₹126,371","₹90,265",Unknown
,,,,,,,17 Sep,"₹215,340","₹197,395","₹161,505","₹125,615","₹89,725",Unknown
,,,,,,,18 Sep,"₹214,233","₹196,380","₹160,675","₹124,969","₹89,264",Unknown
,,,,,,,19 Sep,"₹216,362","₹198,332","₹162,271","₹126,211","₹90,151",Unknown
,,,,,,,20 Sep,"₹218,931","₹200,687","₹164,199","₹127,710","₹91,221",Unknown
,,,,,,,23 Sep,"₹219,563","₹201,266","₹164,672","₹128,079","₹91,485",Unknown
,,,,,,,24 Sep,"₹222,196","₹203,679","₹166,647","₹129,614","₹92,581",Unknown
,,,,,,,25 Sep,"₹222,344","₹203,816","₹166,758","₹129,701","₹92,644",Unknown
,,,,,,,26 Sep,"₹223,510","₹204,885","₹167,633","₹130,381","₹93,129",Unknown
,,,,,,,27 Sep,"₹222,550","₹204,004","₹166,912","₹129,821","₹92,729",Unknown
,,,,,,,30 Sep,"₹220,812","₹202,411","₹165,609","₹128,807","₹92,005",Unknown
,,,,,,,"Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.","Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.","Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.","Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.","Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.","Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,October 2024,October 2024,October 2024,October 2024,October 2024,October 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 Oct,"₹223,399","₹204,783","₹167,550","₹130,316","₹93,083",Unknown
,,,,,,,2 Oct,"₹223,170","₹204,572","₹167,377","₹130,182","₹92,987",Unknown
,,,,,,,3 Oct,"₹223,072","₹204,483","₹167,304","₹130,125","₹92,947",Unknown
,,,,,,,4 Oct,"₹222,972","₹204,391","₹167,229","₹130,067","₹92,905",Unknown
,,,,,,,7 Oct,"₹222,045","₹203,541","₹166,534","₹129,526","₹92,519",Unknown
,,,,,,,8 Oct,"₹220,092","₹201,751","₹165,069","₹128,387","₹91,705",Unknown
,,,,,,,9 Oct,"₹218,863","₹200,625","₹164,147","₹127,670","₹91,193",Unknown
,,,,,,,10 Oct,"₹220,637","₹202,251","₹165,478","₹128,705","₹91,932",Unknown
,,,,,,,11 Oct,"₹223,457","₹204,836","₹167,593","₹130,350","₹93,107",Unknown
,,,,,,,14 Oct,"₹222,701","₹204,142","₹167,026","₹129,909","₹92,792",Unknown
,,,,,,,15 Oct,"₹223,787","₹205,138","₹167,840","₹130,542","₹93,245",Unknown
,,,,,,,16 Oct,"₹224,781","₹206,049","₹168,585","₹131,122","₹93,659",Unknown
,,,,,,,17 Oct,"₹226,369","₹207,505","₹169,777","₹132,049","₹94,320",Unknown
,,,,,,,18 Oct,"₹228,785","₹209,720","₹171,589","₹133,458","₹95,327",Unknown
,,,,,,,21 Oct,"₹228,752","₹209,690","₹171,564","₹133,439","₹95,313",Unknown
,,,,,,,22 Oct,"₹231,088","₹211,831","₹173,316","₹134,802","₹96,287",Unknown
,,,,,,,23 Oct,"₹228,487","₹209,447","₹171,366","₹133,284","₹95,203",Unknown
,,,,,,,24 Oct,"₹230,018","₹210,850","₹172,513","₹134,177","₹95,841",Unknown
,,,,,,,25 Oct,"₹231,095","₹211,837","₹173,321","₹134,805","₹96,289",Unknown
,,,,,,,28 Oct,"₹230,573","₹211,359","₹172,930","₹134,501","₹96,072",Unknown
,,,,,,,29 Oct,"₹233,264","₹213,825","₹174,948","₹136,070","₹97,193",Unknown
,,,,,,,30 Oct,"₹234,365","₹214,834","₹175,774","₹136,713","₹97,652",Unknown
,,,,,,,31 Oct,"₹230,882","₹211,642","₹173,162","₹134,681","₹96,201",Unknown
,,,,,,,"Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.","Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.","Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.","Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.","Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.","Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,November 2024,November 2024,November 2024,November 2024,November 2024,November 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 Nov,"₹230,095","₹210,921","₹172,572","₹134,222","₹95,873",Unknown
,,,,,,,4 Nov,"₹230,286","₹211,095","₹172,714","₹134,333","₹95,952",Unknown
,,,,,,,5 Nov,"₹230,809","₹211,575","₹173,107","₹134,639","₹96,171",Unknown
,,,,,,,6 Nov,"₹224,359","₹205,662","₹168,269","₹130,876","₹93,483",Unknown
,,,,,,,7 Nov,"₹228,131","₹209,120","₹171,099","₹133,077","₹95,055",Unknown
,,,,,,,8 Nov,"₹226,571","₹207,690","₹169,928","₹132,166","₹94,405",Unknown
,,,,,,,11 Nov,"₹221,336","₹202,891","₹166,002","₹129,112","₹92,223",Unknown
,,,,,,,12 Nov,"₹219,332","₹201,054","₹164,499","₹127,944","₹91,388",Unknown
,,,,,,,13 Nov,"₹217,929","₹199,768","₹163,446","₹127,125","₹90,804",Unknown
,,,,,,,14 Nov,"₹216,784","₹198,718","₹162,588","₹126,457","₹90,327",Unknown
,,,,,,,15 Nov,"₹216,383","₹198,351","₹162,287","₹126,223","₹90,159",Unknown
,,,,,,,18 Nov,"₹220,499","₹202,124","₹165,374","₹128,624","₹91,874",Unknown
,,,,,,,19 Nov,"₹222,361","₹203,831","₹166,771","₹129,711","₹92,650",Unknown
,,,,,,,20 Nov,"₹223,530","₹204,903","₹167,648","₹130,393","₹93,138",Unknown
,,,,,,,21 Nov,"₹225,557","₹206,760","₹169,167","₹131,575","₹93,982",Unknown
,,,,,,,22 Nov,"₹229,271","₹210,165","₹171,954","₹133,742","₹95,530",Unknown
,,,,,,,25 Nov,"₹221,368","₹202,921","₹166,026","₹129,131","₹92,237",Unknown
,,,,,,,26 Nov,"₹221,928","₹203,434","₹166,446","₹129,458","₹92,470",Unknown
,,,,,,,27 Nov,"₹222,563","₹204,016","₹166,923","₹129,829","₹92,735",Unknown
,,,,,,,28 Nov,"₹222,846","₹204,276","₹167,135","₹129,994","₹92,853",Unknown
,,,,,,,29 Nov,"₹224,072","₹205,399","₹168,054","₹130,709","₹93,363",Unknown
,,,,,,,"Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.","Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.","Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.","Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.","Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.","Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,December 2024,December 2024,December 2024,December 2024,December 2024,December 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,2 Dec,"₹223,865","₹205,210","₹167,899","₹130,588","₹93,277",Unknown
,,,,,,,3 Dec,"₹223,711","₹205,068","₹167,783","₹130,498","₹93,213",Unknown
,,,,,,,4 Dec,"₹224,531","₹205,820","₹168,398","₹130,976","₹93,554",Unknown
,,,,,,,5 Dec,"₹222,982","₹204,400","₹167,236","₹130,073","₹92,909",Unknown
,,,,,,,6 Dec,"₹222,944","₹204,365","₹167,208","₹130,051","₹92,893",Unknown
,,,,,,,9 Dec,"₹225,778","₹206,964","₹169,334","₹131,704","₹94,074",Unknown
,,,,,,,10 Dec,"₹228,756","₹209,693","₹171,567","₹133,441","₹95,315",Unknown
,,,,,,,11 Dec,"₹230,626","₹211,407","₹172,969","₹134,532","₹96,094",Unknown
,,,,,,,12 Dec,"₹227,429","₹208,477","₹170,572","₹132,667","₹94,762",Unknown
,,,,,,,13 Dec,"₹224,681","₹205,958","₹168,511","₹131,064","₹93,617",Unknown
,,,,,,,16 Dec,"₹225,276","₹206,503","₹168,957","₹131,411","₹93,865",Unknown
,,,,,,,17 Dec,"₹224,776","₹206,044","₹168,582","₹131,119","₹93,657",Unknown
,,,,,,,18 Dec,"₹220,637","₹202,250","₹165,477","₹128,705","₹91,932",Unknown
,,,,,,,19 Dec,"₹220,838","₹202,435","₹165,629","₹128,822","₹92,016",Unknown
,,,,,,,20 Dec,"₹222,827","₹204,258","₹167,121","₹129,983","₹92,845",Unknown
,,,,,,,23 Dec,"₹222,610","₹204,059","₹166,957","₹129,856","₹92,754",Unknown
,,,,,,,24 Dec,"₹222,872","₹204,299","₹167,154","₹130,009","₹92,863",Unknown
,,,,,,,25 Dec,"₹223,800","₹205,150","₹167,850","₹130,550","₹93,250",Unknown
,,,,,,,26 Dec,"₹225,657","₹206,852","₹169,242","₹131,633","₹94,024",Unknown
,,,,,,,27 Dec,"₹223,861","₹205,206","₹167,896","₹130,585","₹93,275",Unknown
,,,,,,,30 Dec,"₹223,449","₹204,829","₹167,587","₹130,345","₹93,104",Unknown
,,,,,,,31 Dec,"₹224,626","₹205,907","₹168,469","₹131,032","₹93,594",Unknown
,,,,,,,"Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
